jasparfile, jaspar info, jaspar info percentage, sequence, motif, meme strand, jaspar strand, p_value, meme e value, distance score, percentage  score, positional distance, false positive, false negative, fail, promoter length, number of seqs, meme model, markov order
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, -, -, 4.45e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, -, -, 4.45e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 9.9e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 98, 0, 0, 1, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 9.9e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, -, -, 0.000141, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, -, -, 0.000261, 620.0, 3.7674257425742574, 0.2354641089108911, 98, 0, 0, 1, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, +, +, 0.0003, 620.0, 3.7674257425742574, 0.2354641089108911, 2, 0, 0, 0, 100, 5, anr, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-9, MEME-1, -, +, 3.22e-11, 49.0, 32.166000742574255, 0.5361000123762376, -15, 0, 0, 0, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, +, +, 4.58e-11, 49.0, 32.166000742574255, 0.5361000123762376, 98, 0, 0, 1, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-8, MEME-1, +, , 2.25e-10, 49.0, 32.166000742574255, 0.5361000123762376, 100, 1, 0, 1, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, -, -, 2.18e-09, 49.0, 32.166000742574255, 0.5361000123762376, 98, 0, 0, 1, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-6, MEME-1, +, +, 2.69e-09, 49.0, 32.166000742574255, 0.5361000123762376, 98, 0, 0, 1, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, +, -, 3.31e-09, 49.0, 32.166000742574255, 0.5361000123762376, 98, 0, 0, 1, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, -, -, 5.89e-09, 49.0, 32.166000742574255, 0.5361000123762376, 98, 0, 0, 1, 100, 10, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-5, MEME-1, -, -, 1.78e-05, 59.0, 4.102574257425743, 0.2564108910891089, 2, 0, 0, 0, 100, 10, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, -, -, 5.06e-05, 59.0, 4.102574257425743, 0.2564108910891089, 2, 0, 0, 0, 100, 10, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, +, , 5.06e-05, 59.0, 4.102574257425743, 0.2564108910891089, 100, 1, 0, 1, 100, 10, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, +, +, 5.06e-05, 59.0, 4.102574257425743, 0.2564108910891089, 0, 0, 0, 0, 100, 10, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-6, MEME-1, +, +, 6.58e-05, 59.0, 4.102574257425743, 0.2564108910891089, 0, 0, 0, 0, 100, 10, zoops, 1
