promoter_file, motif, number_of_sites, jaspar_file_info, jaspar_info_percentage, e_val, distance, distance_percentage, failure_rate, success_rate, false_positive_rate, false_negative, promoter_size, number_of_sequences, model, markov_order, iterations, stdev(avg_eval), stdev(avg_score), stdev(avg_pscore), stdev(avg_frate), stdev(avg_srate), stdev(avg_fprate), stdev(avg_fn)
'/tmp/testmotif23224_300_20_5.fa', 'MEME-2', 11, 0.6751350662203579, 260000.0, 300240.0, 12.173334, 0.5231894242424242, 0.6366666666666667, 0.36333333333333334, 0.03916666666666667, 'statistics.mean(avg_fn)', 300, 20, 'zoops', 0, 5, 561029.2220553221, 3.5154739193713267, 0.16779756940804302, 0.4678778924273108, 0.4678778924273108, 0.05919013619026588, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-3', 5, 0.6751350662203579, 260000.0, 1610000.0, 20.439999999999998, 0.44931929046563196, 1.0, 0.0, 0.065, 'statistics.mean(avg_fn)', 300, 20, 'zoops', 0, 5, 2958944.068413595, 15.07673704751794, 0.09335630062969613, 0.0, 0.0, 0.09287087810503356, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-1', 18.4, 0.6751350662203579, 6900000.0, 3001.266002374, 17.4966684, 0.8759232616161616, 0.17038011695906433, 0.8296198830409356, 0.0, 'statistics.mean(avg_fn)', 300, 20, 'zoops', 1, 5, 6707.496745654633, 0.8961758241555067, 0.02417510833016776, 0.10588427456691034, 0.10588427456691034, 0.0, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-2', 12.4, 0.6751350662203579, 6900000.0, 1470314.0, 24.264999999999993, 0.46479160079051374, 0.99, 0.01, 0.05, 'statistics.mean(avg_fn)', 300, 20, 'zoops', 1, 5, 2985593.284086096, 17.415883554962114, 0.0979220815017784, 0.022360679774997918, 0.022360679774997897, 0.08660254037844388, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-3', 9.2, 0.6751350662203579, 6900000.0, 1469040.0, 16.8410534, 0.44651567630918987, 0.9888888888888889, 0.01111111111111111, 0.0, 'statistics.mean(avg_fn)', 300, 20, 'zoops', 1, 5, 3038957.9312652554, 8.869374462327812, 0.10969294660968279, 0.024845199749997673, 0.02484519974999766, 0.0, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-1', 20, 0.6751350662203579, 38000000.0, 2.47254, 9.979999999999999, 0.4855959595959596, 0.33, 0.67, 0.13, 'statistics.mean(avg_fn)', 300, 20, 'oops', 0, 5, 4.7780994399447145, 7.46840009640619, 0.34480031269878486, 0.0570087712549569, 0.057008771254956896, 0.057008771254956896, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-2', 20, 0.6751350662203579, 38000000.0, 5870578000.0, 9.36, 0.4178585858585858, 1.0, 0.0, 0.14, 'statistics.mean(avg_fn)', 300, 20, 'oops', 0, 5, 11342102588.604107, 4.3775563959816655, 0.10601483861002493, 0.0, 0.0, 0.05477225575051661, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-3', 20, 0.6751350662203579, 38000000.0, 1426600000.0, 9.44, 0.42012987012987013, 1.0, 0.0, 0.15, 'statistics.mean(avg_fn)', 300, 20, 'oops', 0, 5, 2568425159.5092273, 2.059854363784003, 0.04014174161394816, 0.0, 0.0, 0.07905694150420949, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-1', 20, 0.6751350662203579, 720000000.0, 0.020423424000000003, 11.94, 0.6185555555555555, 0.19, 0.81, 0.08, 'statistics.mean(avg_fn)', 300, 20, 'oops', 1, 5, 0.030390907561290106, 7.299863012413315, 0.3737554657100658, 0.05477225575051661, 0.05477225575051661, 0.027386127875258306, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-2', 20, 0.6751350662203579, 720000000.0, 1826638000.0, 11.979999999999999, 0.4497799422799423, 1.0, 0.0, 0.08, 'statistics.mean(avg_fn)', 300, 20, 'oops', 1, 5, 3954803269.913688, 6.93303685263536, 0.10639224966988646, 0.0, 0.0, 0.027386127875258306, 'statistics.stdev(avg_fn)'
